,Artist ID,Artist name,Album ID,Album name,Album release date,Track ID,Track name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,22N7nvpS5es8aU13yrRJwG,Abar Phire Ele,0.443,0.532,-8.235,1,0.0389,0.61,0,0.411,0.171,156.08,307840,4
11,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,4N8500Bd1aecHLTQX5APbX,Apur Payer Chhap,0.342,0.271,-9.525,1,0.0295,0.891,2.25e-06,0.0818,0.345,84.807,247850,4
12,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,1ImSWCMTrn53Vef4XjDxPc,Shudhu Tomari Jonyo Theme,0.46,0.596,-5.223,1,0.0337,0.34,0,0.0509,0.468,143.693,208968,4
13,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,68oIopOmxeQIbMfo5BocXt,Eshe Gechi Kachakachi,0.598,0.734,-5.545,1,0.0264,0.0727,0,0.28,0.432,105.982,249623,4
14,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,7ldbrBDXn5bhZ7SE5p485m,Mon Bojhe Naa,0.72,0.759,-7.826,0,0.0469,0.512,0,0.18,0.829,91.989,245180,4
15,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,3hSNwtILE02omSA3eUdpTg,Eka Ekela Mon,0.422,0.586,-6.205,0,0.0487,0.638,0.000225,0.347,0.46,179.964,323036,4
16,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,7lJVL1qzNHK7rpFHtcF07x,Hoye Jetey Paari,0.694,0.724,-6.426,1,0.0877,0.243,6.24e-06,0.102,0.185,123.961,312581,4
17,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,1nTaiXEsQ4i6p9fsMrCaux,Thik Emon Ebhabe,0.51,0.452,-6.958,0,0.029,0.785,0,0.0974,0.422,135.821,262338,3
18,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,0ct9kcEOs9lsKgOcxm90Qu,Amazing Arijit,2020-01-30,6sJz0KMqV4iaaxjlRr9dp3,Egiye De,0.569,0.591,-6.606,1,0.028,0.345,1.3e-05,0.143,0.329,90.045,253043,4
19,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,0F4tFf7yriRbSK3Cw42z1t,Tere Hoke Rahengay,0.717,0.691,-4.319,0,0.0294,0.0776,0.000302,0.0998,0.427,115.97,243647,4
20,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,5wC8RPygJAfbM37jSlDGK2,Teri Ore,0.484,0.797,-4.629,1,0.0972,0.172,0,0.267,0.699,83.542,339592,4
21,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,4gvTZWmgxRSNPQW6BmWewj,Aao Na,0.528,0.769,-6.48,1,0.0417,0.00925,0,0.109,0.529,135.992,255791,4
22,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,5byYUfuKfWlTBVKTCjKepJ,Rehne Do Zara,0.444,0.433,-9.239,1,0.0315,0.467,0.00179,0.381,0.2,121.841,213393,4
23,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,74E8HVMDv1ur4K5FSsi0AU,Le Jaa Tu Kahin,0.535,0.555,-5.112,1,0.0279,0.489,0,0.0855,0.259,119.978,220000,4
24,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,7scdIaI9F5ukpQvfQnDX1h,Main Tenu,0.62,0.512,-4.033,1,0.0276,0.42,0,0.124,0.399,102.033,287048,4
25,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,0HkPWGMYp80c1OENdu8RKX,Har Kisi Ko Nahin Milta,0.59,0.904,-6.47,1,0.0355,0.00098,9.48e-05,0.338,0.298,120.018,220000,4
26,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,2b1jRXut0UQBfL5VLfsjFG,"Acche Din, Acche Gaane",2019-05-29,6tA6Taq1B7RMejPW0GkRLW,Ucha Lamba Kad,0.716,0.806,-6.826,1,0.0838,0.0231,1.44e-06,0.296,0.72,89.997,279577,4
